Date,Rating,Review,User,Translated_Review,Manually_Labelled_Sentiment
1/2/2026,1,kedekut syiling emas bila digunakan untuk pembelian barangan biar pun dah dapat 1+++coin nilainya jatuh berapa sen saja. Bagus lagi LAZADA dan Tiktok. Shopeelater tidak membantu saya dalam pembelian biarpun dah selesai hutang selama 2 tahun lebih namun shopee later tak dapat digunakan lagi. Bye Shopee hahahaha,Mohd Fariq,"being stingy with gold coins when used to purchase goods, even if you get 1+++ coins, the value drops by just a few cents. LAZADA and Tiktok are good. Shopeelater doesn't help me in my purchase even though I have settled the debt for more than 2 years, but Shopeelater can't be used anymore. Bye Shopee hahahaha",Negative
1/2/2026,5,"I personally think that this is the best app I can use to order any items, plus with how many vouchers and discounts there are. I love how there are many options where you can cancel the order and a lot more. This app is totally worth it, I've ordered many items from here and they were all in good hands when I received it which I am very glad to see.",likchan622 likchan622,"I personally think that this is the best app I can use to order any items, plus with how many vouchers and discounts there are. I love how there are many options where you can cancel the order and a lot more. This app is totally worth it, I've ordered many items from here and they were all in good hands when I received it which I am very glad to see.",Positive
1/2/2026,5,terbaik,Hisham Sabdin,the best,Positive
1/2/2026,5,Hope best services thanks,Raine WM,Hope best services thanks,Positive
1/2/2026,5,ok,Aliff Syazwan,ok,Neutral
1/2/2026,1,"ads banyak gila, tak suka ads dia... nak tgk cerita ka apa mesti ads shopee, macam apa lagi promote.",Sharipah Wagiman,"Lots of crazy ads, I don't like his ads... I want to tell you what must be shopee ads, what else to promote.",Negative
1/2/2026,1,Excellency on/off.,raha izam,Excellency on/off.,Negative
1/2/2026,1,shortcut message always disappeared. so hard to send messages,ooi gaverick,shortcut message always disappeared. so hard to send messages,Negative
1/2/2026,5,👍,mufries 11,👍,Positive
1/2/2026,3,"Overall Ok...except potential bots or paid reviews for some sellers. Lately, delivery dates keep changing...poor courier selection.",Hazard David,"Overall Ok...except potential bots or paid reviews for some sellers. Lately, delivery dates keep changing...poor courier selection.",Neutral
1/2/2026,1,Saya tak dapat claim coin di live shopee,Nurul Akmal,I can't claim coins on live shopee,Negative
1/2/2026,3,"Logo shopee terus jadi Ramadan,CNY skip ke? Why don't do both?",Z Z,"Shopee logo continues to be Ramadan, CNY skip to? Why don't do both?",Negative
1/2/2026,5,good,Saltiga Z wan Trigona Mini Farmville,good,Positive
1/2/2026,5,very recommended for shopping,Chloe Go,very recommended for shopping,Positive
31/1/2026,1,not taking action on consumer complaints about fraudulent merchants in Shope,akey OO,not taking action on consumer complaints about fraudulent merchants in Shope,Negative
31/1/2026,5,perfect,Hamdan Kaiman,perfect,Positive
31/1/2026,5,The best,Hafiz Rahmat,The best,Positive
31/1/2026,5,ok,Muhd Badrul,ok,Neutral
31/1/2026,5,good,Asrul Kimie,good,Positive
31/1/2026,5,good,Muhd Hidayat,good,Positive
